system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2015-10-14_13,D01,2015-10-14T00:00:00,2015-10-14,0.8098039215686276,sims,3x3,et,
2015-10-14_14,D05,2015-10-14T00:00:00,2015-10-14,0.6,sims,3x3,et,
2015-10-14_6,D07,2015-10-14T00:00:00,2015-10-14,0.6,sims,3x3,et,
2015-10-14_7,D08,2015-10-14T00:00:00,2015-10-14,0.6896958692691784,sims,3x3,et,
2015-10-14_2,D03,2015-10-14T00:00:00,2015-10-14,2.0198170731707314,sims,3x3,et,
2015-10-14_3,D11,2015-10-14T00:00:00,2015-10-14,0.6117262423714037,sims,3x3,et,
2015-10-14_1,D02,2015-10-14T00:00:00,2015-10-14,2.076855895196507,sims,3x3,et,
2015-10-15_4,D12,2015-10-15T00:00:00,2015-10-15,2.5502272727272732,sims,3x3,et,
2015-10-15_5,D14,2015-10-15T00:00:00,2015-10-15,3.538535309503051,sims,3x3,et,
2015-10-15_8,D04,2015-10-15T00:00:00,2015-10-15,1.4722004357298475,sims,3x3,et,
2015-10-15_9,D06,2015-10-15T00:00:00,2015-10-15,1.6197907585004359,sims,3x3,et,
2015-10-15_11,D10,2015-10-15T00:00:00,2015-10-15,2.4154013961605587,sims,3x3,et,
2015-10-15_10,D09,2015-10-15T00:00:00,2015-10-15,1.0105148342059338,sims,3x3,et,
2015-10-15_12,D13,2015-10-15T00:00:00,2015-10-15,0.8796691336525905,sims,3x3,et,
2015-10-15_13,D01,2015-10-15T00:00:00,2015-10-15,0.716732026143791,sims,3x3,et,
2015-10-15_14,D05,2015-10-15T00:00:00,2015-10-15,0.5,sims,3x3,et,
2015-10-15_6,D07,2015-10-15T00:00:00,2015-10-15,0.5,sims,3x3,et,
2015-10-15_7,D08,2015-10-15T00:00:00,2015-10-15,0.6332728098048116,sims,3x3,et,
2015-10-15_2,D03,2015-10-15T00:00:00,2015-10-15,1.7747386759581887,sims,3x3,et,
2015-10-15_3,D11,2015-10-15T00:00:00,2015-10-15,0.5540540540540543,sims,3x3,et,
2015-10-15_1,D02,2015-10-15T00:00:00,2015-10-15,1.8455895196506553,sims,3x3,et,
