system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2_2016-05-27_11,D10,2016-05-27T00:00:00,2_2016-05-27,6.140982264665757,ucdpt,3x3,et,
2_2016-05-27_10,D09,2016-05-27T00:00:00,2_2016-05-27,1.9800045724737083,ucdpt,3x3,et,
2_2016-05-27_12,D13,2016-05-27T00:00:00,2_2016-05-27,5.523544360231834,ucdpt,3x3,et,
2_2016-05-27_13,D01,2016-05-27T00:00:00,2_2016-05-27,2.303660130718954,ucdpt,3x3,et,
2_2016-05-27_14,D05,2016-05-27T00:00:00,2_2016-05-27,5.892222222222222,ucdpt,3x3,et,
2_2016-05-27_6,D07,2016-05-27T00:00:00,2_2016-05-27,6.164984478935698,ucdpt,3x3,et,
2_2016-05-27_7,D08,2016-05-27T00:00:00,2_2016-05-27,0.693069097075032,ucdpt,3x3,et,
2_2016-05-27_2,D03,2016-05-27T00:00:00,2_2016-05-27,6.368604026845638,ucdpt,3x3,et,
2_2016-05-27_3,D11,2016-05-27T00:00:00,2_2016-05-27,2.3379488310542564,ucdpt,3x3,et,
2_2016-05-27_1,D02,2016-05-27T00:00:00,2_2016-05-27,5.082014292094685,ucdpt,3x3,et,
2_2016-05-28_4,D12,2016-05-28T00:00:00,2_2016-05-28,5.352556321839081,ucdpt,3x3,et,
2_2016-05-28_5,D14,2016-05-28T00:00:00,2_2016-05-28,7.310936789449751,ucdpt,3x3,et,
2_2016-05-28_8,D04,2016-05-28T00:00:00,2_2016-05-28,5.882103191954525,ucdpt,3x3,et,
2_2016-05-28_9,D06,2016-05-28T00:00:00,2_2016-05-28,1.3385207353569901,ucdpt,3x3,et,
2_2016-05-28_11,D10,2016-05-28T00:00:00,2_2016-05-28,6.914233742610278,ucdpt,3x3,et,
2_2016-05-28_10,D09,2016-05-28T00:00:00,2_2016-05-28,2.2449382716049384,ucdpt,3x3,et,
2_2016-05-28_12,D13,2016-05-28T00:00:00,2_2016-05-28,6.18756130182791,ucdpt,3x3,et,
2_2016-05-28_13,D01,2016-05-28T00:00:00,2_2016-05-28,2.6790588235294113,ucdpt,3x3,et,
2_2016-05-28_14,D05,2016-05-28T00:00:00,2_2016-05-28,6.613333333333333,ucdpt,3x3,et,
2_2016-05-28_6,D07,2016-05-28T00:00:00,2_2016-05-28,7.052917960088691,ucdpt,3x3,et,
